address,distance,review_count,ratings,chain,city,lat,long
1,0.521033055,2,4,1,3,37.81097,-122.26651
1,0.209132591,1,3,1,3,37.80641265,-122.2682921
1,3.135772661,1,3.5,18,2,37.76509,-122.24233
2,3.206912554,1,3.5,1,2,37.76353,-122.24319
1,1.383224313,1,5,1,3,37.81106863,-122.2472357
1,6.443307285,1,4.5,1,1,37.6834642,-122.4028888
1,0.255240387,2,4.5,1,3,37.80760948,-122.26888
2,0.393536988,1,2.5,2,3,37.79896158,-122.2688238
1,0.359643308,1,4.5,1,3,37.79962921,-122.2683716
5,8.451115727,2,3.5,18,4,37.723825,-122.154663
1,1.54571267,1,3.5,25,3,37.81062178,-122.2439262
1,4.755640816,1,4,1,2,37.87316305,-122.2685771
2,0.238985643,4,3.5,1,3,37.800992,-122.2701305
1,42.88510937,7,4,1,4,37.3145585,-121.790189
2,39.70031016,3,4,1,4,37.33234432,-121.8577422
2,39.77969935,2,4,1,4,37.33114876,-121.8573767
1,43.12231844,2,4,1,4,37.25336,-121.9015
1,37.37523255,2,4,9,4,37.3157651,-121.9782757
1,41.18680817,2,4,1,4,37.3105199,-121.84997
1,44.1785234,2,4,1,4,37.26703262,-121.834053
2,42.44372239,2,4.5,7,4,37.308647,-121.813461
1,38.8784971,2,3.5,1,4,37.332404,-121.8845467
1,37.47431539,1,4,1,4,37.3529399,-121.89176
1,38.46158149,1,5,1,4,37.33709,-121.88941
2,39.75082982,2,4,2,4,37.33198757,-121.8567742
1,38.48306265,1,4,2,4,37.33862955,-121.8857068
1,42.36293511,2,4,16,4,37.31225168,-121.8097693
1,38.45699789,2,3.5,2,4,37.309534,-121.949649
2,35.80157403,1,4,1,4,37.38698002,-121.8835761
1,44.57065733,1,4,1,4,37.2486886,-121.8579708
1,44.56425063,1,4.5,1,4,37.2525199,-121.8501
1,37.0616918,2,4,2,4,37.30865701,-122.0125922
1,41.33927267,2,4,1,4,37.32229,-121.82405
1,34.90491491,2,4,1,4,37.40417704,-121.8819331
2,42.44048844,1,4,1,4,37.30885467,-121.8132025
6,35.78723875,3,4.5,7,3,37.32258,-122.03121
1,38.6403462,2,4,1,4,37.335455,-121.886596
